"","age_group","attend_day_or_evening","attending_germantown","attending_rockville","attending_takoma_park_ss","city_in_md","county_in_md","ethnicity","fall_term","gender","hs_category","mc_program_description","mcps_high_school","race","state","student_status","student_type","zip"
"381","20 or Younger","Day Only","Yes","No","No","Brookeville","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","James Hubert Blake High School","Black","MD","Part-Time","Continuing",20833
"382","30 or Older","Day & Evening","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Multi-Race","MD","Full-Time","New",20850
"383","25 - 29","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Female","Home-Schooled","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20876
"384","20 or Younger","Day Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","GED","Education / Teacher Education (AA & AAT)","","White","MD","Full-Time","Continuing",20877
"385","25 - 29","Day & Evening","Yes","Yes","No","Clarksburg","Montgomery","Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Hispanic","MD","Full-Time","Continuing",20871
"386","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Criminal Justice (AA & AAS)","Springbrook Sr High School","Black","MD","Part-Time","New",20904
"387","30 or Older","Day & Evening","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Arts & Sciences Transfer (AA - All Tracks)","","Black","MD","Full-Time","Continuing",20904
"388","20 or Younger","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Other State","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","New",20879
"389","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Business / International Business (AA)","","Asian","MD","Full-Time","Continuing",20850
"390","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Graphic Design (AA, AAS, & AFA - All Tracks)","Springbrook Sr High School","Asian","MD","Part-Time","Continuing",20904
"391","21 - 24","Day Only","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Watkins Mill High School","White","MD","Part-Time","Continuing",20876
"392","21 - 24","Day & Evening","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","Asian","MD","Full-Time","Continuing",20903
"393","21 - 24","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Nursing (AA & AAS)","Montgomery Blair High School","Asian","MD","Part-Time","New",20901
"394","20 or Younger","No Specific Time[online]","No","Yes","No","Germantown","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Clarksburg High School","White","MD","Part-Time","Continuing",20876
"395","21 - 24","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","Foreign Country","Health Sciences (Pre-Clinical Studies)","","White","MD","Part-Time","Continuing",20906
"396","30 or Older","No Specific Time[online]","No","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Cybersecurity (AAS)","","Asian","MD","Part-Time","Continuing",20874
"397","20 or Younger","Day Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Cybersecurity (AAS)","Seneca Valley High School","Multi-Race","MD","Part-Time","New",20874
"398","20 or Younger","Day & Evening","No","Yes","Yes","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","White","MD","Full-Time","New",20906
"399","30 or Older","Day Only","No","Yes","No","Burtonsville","Montgomery","Not Hispanic",2015,"Male","MCPS","Credit (Undeclared / Undecided)","Seneca Valley High School","Asian","MD","Part-Time","Continuing",20866
"400","21 - 24","Day & Evening","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Quince Orchard Sr High School","Asian","MD","Full-Time","Continuing",20876
"401","25 - 29","Day Only","No","Yes","Yes","Takoma Park","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20912
"402","25 - 29","Day Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Credit (Undeclared / Undecided)","Gaithersburg High School","Asian","MD","Part-Time","Continuing",20877
"403","21 - 24","Evening Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Male","MCPS","Science (AS - All Tracks)","James Hubert Blake High School","Asian","MD","Part-Time","Continuing",20904
"404","30 or Older","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Other State","Arts & Sciences Transfer (AA - All Tracks)","","White","MD","Part-Time","Continuing",20901
"405","20 or Younger","Day & Evening","Yes","Yes","No","Damascus","Montgomery","Hispanic",2015,"Male","MCPS","Criminal Justice (AA & AAS)","Damascus High School","White","MD","Part-Time","New",20872
"406","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Richard Montgomery High School","Black","MD","Part-Time","Transfer no degree",20850
"407","20 or Younger","Day Only","No","Yes","No","North Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Thomas Sprigg Wootton High Sch","Asian","MD","Part-Time","New",20878
"408","20 or Younger","Day & Evening","No","Yes","No","Gaithersburg","Montgomery","Hispanic",2015,"Male","MCPS","Automotive Technology (CT)","Gaithersburg High School","White","MD","Full-Time","New",20877
"409","25 - 29","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Full-Time","Continuing",20902
"410","30 or Older","Evening Only","Yes","No","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Female","Other State","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20878
"411","30 or Older","Day & Evening","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Male","Foreign Country","Building Trades Technology (AA & AAS)","","Black","MD","Full-Time","Continuing",20910
"412","20 or Younger","Day Only","Yes","No","No","Dickerson","Montgomery","Not Hispanic",2015,"Female","MCPS","Science (AS - All Tracks)","Poolesville Jr-Sr High School","White","MD","Full-Time","Continuing",20842
"413","25 - 29","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Asian","MD","Full-Time","Continuing",20852
"414","21 - 24","No Specific Time[online]","Yes","No","Yes","Silver Spring","Montgomery","Hispanic",2015,"Male","MCPS","Business / International Business (AA)","Paint Branch High School","White","MD","Part-Time","Continuing",20904
"415","21 - 24","Day & Evening","Yes","No","Yes","Washington","Other","Not Hispanic",2015,"Female","Other State","Criminal Justice (AA & AAS)","","Black","DC","Part-Time","Transfer no degree",20020
"416","25 - 29","Day Only","Yes","Yes","No","Germantown","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Colonel Zadok Magruder HS","Black","MD","Part-Time","Continuing",20874
"417","30 or Older","Day Only","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","White","MD","Part-Time","Transfer no degree",20851
"418","20 or Younger","Day Only","No","No","Yes","University Park","Prince George's","Not Hispanic",2015,"Male","Other Maryland","General Studies (AA - All Tracks)","","White","MD","Part-Time","New",20782
"419","21 - 24","No Specific Time[online]","Yes","No","No","Rockville","Montgomery","Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20851
"420","21 - 24","Evening Only","No","No","Yes","Hyattsville","Prince George's","Not Hispanic",2015,"Male","Other State","Science (AS - All Tracks)","","Black","MD","Part-Time","Transfer no degree",20782
"421","20 or Younger","Day Only","Yes","No","No","Potomac","Montgomery","Not Hispanic",2015,"Male","MCPS","Cybersecurity (AAS)","Winston Churchill High School","White","MD","Part-Time","Continuing",20854
"422","21 - 24","Day & Evening","No","Yes","No","Rockville","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Wheaton High School","White","MD","Part-Time","Continuing",20853
"423","25 - 29","Evening Only","Yes","No","No","Silver Spring","Montgomery","Hispanic",2015,"Female","GED","General Studies (AA - All Tracks)","","White","MD","Part-Time","New",20904
"424","21 - 24","Day Only","No","No","Yes","Rockville","Montgomery","Hispanic",2015,"Female","GED","Nursing (AA & AAS)","","White","MD","Part-Time","Continuing",20850
"425","20 or Younger","Day Only","Yes","No","No","Damascus","Montgomery","Not Hispanic",2015,"Female","Other State","Photography (CT)","","White","MD","Part-Time","Continuing",20872
"426","20 or Younger","Day Only","No","Yes","No","Olney","Montgomery","Hispanic",2015,"Female","GED","General Studies (AA - All Tracks)","","White","MD","Part-Time","Continuing",20832
"427","21 - 24","Evening Only","Yes","Yes","No","Montgomery Village","Montgomery","Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Watkins Mill High School","Hispanic","MD","Part-Time","Continuing",20886
"428","20 or Younger","No Specific Time[online]","Yes","Yes","No","Germantown","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Northwest HS - Germantown","White","MD","Full-Time","Continuing",20874
"429","20 or Younger","Day Only","Yes","No","No","Germantown","Montgomery","Not Hispanic",2015,"Male","MCPS","General Studies (AA - All Tracks)","Quince Orchard Sr High School","White","MD","Part-Time","Continuing",20874
"430","21 - 24","Day Only","No","Yes","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Part-Time","Continuing",20906
"431","20 or Younger","Day Only","No","Yes","No","Burtonsville","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Gaming & Simulation (AA - All Tracks)","Paint Branch High School","Black","MD","Full-Time","Continuing",20866
"432","20 or Younger","Evening Only","No","Yes","Yes","Temple Hills","Prince George's","Not Hispanic",2015,"Female","Other Maryland","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20748
"433","21 - 24","Day Only","No","Yes","No","Montgomery Village","Montgomery","Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Seneca Valley High School","White","MD","Full-Time","Continuing",20886
"434","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (AA - All Tracks)","James Hubert Blake High School","Black","MD","Part-Time","Continuing",20904
"435","20 or Younger","Day Only","Yes","Yes","Yes","Takoma Park","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Montgomery Blair High School","Black","MD","Full-Time","Continuing",20912
"436","21 - 24","Day Only","No","No","Yes","Riverdale","Prince George's","Not Hispanic",2015,"Female","Other State","Studio Art (AFA) - School of Art & Design","","White","MD","Part-Time","Continuing",20737
"437","21 - 24","Day Only","No","Yes","No","Montgomery Village","Montgomery","Not Hispanic",2015,"Male","Other Maryland","Engineering Science (AA & AS - All Tracks)","","Black","MD","Part-Time","Continuing",20886
"438","25 - 29","Day Only","No","No","Yes","Washington","Other","Not Hispanic",2015,"Female","Other State","Health Sciences (Pre-Clinical Studies)","","Black","DC","Part-Time","New",20019
"439","30 or Older","No Specific Time[online]","No","No","Yes","Rockville","Montgomery","Not Hispanic",2015,"Male","Other State","Arts & Sciences Transfer (AA - All Tracks)","","White","MD","Part-Time","Continuing",20852
"440","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Full-Time","Continuing",20904
"441","30 or Older","Day Only","No","No","Yes","Silver Spring","Montgomery","Not Hispanic",2015,"Female","Foreign Country","General Studies (AA - All Tracks)","","Black","MD","Full-Time","Continuing",20904
"442","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Richard Montgomery High School","Asian","MD","Full-Time","Continuing",20851
"443","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Male","MCPS","Engineering Science (AA & AS - All Tracks)","Richard Montgomery High School","Asian","MD","Full-Time","Continuing",20851
"444","25 - 29","Day Only","No","Yes","No","Potomac","Montgomery","Hispanic",2015,"Female","MCPS","Photography (CT)","Walter Johnson High School","White","MD","Part-Time","Continuing",20854
"445","25 - 29","Day Only","Yes","No","Yes","Greenbelt","Prince George's","Hispanic",2015,"Female","Other State","Health Sciences (Pre-Clinical Studies)","","White","MD","Part-Time","Transfer no degree",20770
"446","30 or Older","Day & Evening","Yes","Yes","No","Boyds","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","Black","MD","Part-Time","Continuing",20841
"447","21 - 24","Day Only","No","No","Yes","Washington","Other","Unknown",2015,"Male","Other State","General Studies (AA - All Tracks)","","Black","DC","Part-Time","Continuing",20020
"448","25 - 29","Day Only","No","Yes","No","Silver Spring","Montgomery","Not Hispanic",2015,"Female","MCPS","General Studies (AA - All Tracks)","Albert Einstein HS & MC Art Cn","Asian","MD","Part-Time","Continuing",20902
"449","30 or Older","Day & Evening","Yes","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","Foreign Country","Health Sciences (Pre-Clinical Studies)","","White","MD","Part-Time","Continuing",20850
"450","21 - 24","Evening Only","No","Yes","No","Gaithersburg","Montgomery","Not Hispanic",2015,"Male","MCPS","Computer Science & Technologies (AA - All Tracks)","Quince Orchard Sr High School","Asian","MD","Part-Time","Continuing",20878
"451","20 or Younger","Day Only","No","Yes","No","Rockville","Montgomery","Not Hispanic",2015,"Female","MCPS","Education / Teacher Education (AA & AAT)","Walter Johnson High School","Asian","MD","Part-Time","New",20852
"452","20 or Younger","Day Only","No","Yes","No","Silver Spring","Montgomery","Hispanic",2015,"Female","MCPS","Arts & Sciences Transfer (AA - All Tracks)","Montgomery Blair High School","Multi-Race","MD","Part-Time","Continuing",20901
